print_serial,design,print_location,hardware,layout,material,color,feature_category,feature_class,feature_id,feature_category_class,material_color,part_id,print_x_mm,print_y_mm,CAD_mm,measure_mm,DFT_mm,print_dist_from_origin_mm,thermal_cure
KR70035C,bracket,7,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_7,42,48,15,14.96988063,-0.030119373,63.78087488,TRUE
KR70035C,bracket,7,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_7,42,48,8,7.644579345,-0.355420655,63.78087488,TRUE
KR70035C,bracket,7,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_7,42,48,2.5,2.404392786,-0.095607214,63.78087488,TRUE
KR70035C,bracket,7,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_7,42,48,15,14.92823855,-0.071761455,63.78087488,TRUE
KR70035C,bracket,7,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_7,42,48,2,1.995835033,-0.004164967,63.78087488,TRUE
KR70035C,bracket,8,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_8,63,48,15,14.94328985,-0.056710147,79.20227269,TRUE
KR70035C,bracket,8,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_8,63,48,8,7.647961279,-0.352038721,79.20227269,TRUE
KR70035C,bracket,8,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_8,63,48,2.5,2.417742728,-0.082257272,79.20227269,TRUE
KR70035C,bracket,8,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_8,63,48,15,14.91803673,-0.081963275,79.20227269,TRUE
KR70035C,bracket,8,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_8,63,48,2,1.992331073,-0.007668927,79.20227269,TRUE
KR70035C,bracket,9,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_9,84,48,15,14.89764464,-0.102355363,96.74709298,TRUE
KR70035C,bracket,9,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_9,84,48,8,7.681376263,-0.318623737,96.74709298,TRUE
KR70035C,bracket,9,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_9,84,48,2.5,2.321482722,-0.178517278,96.74709298,TRUE
KR70035C,bracket,9,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_9,84,48,15,14.89728743,-0.10271257,96.74709298,TRUE
KR70035C,bracket,9,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_9,84,48,2,2.030981861,0.030981861,96.74709298,TRUE
KR70035C,bracket,16,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_16,42,24,15,14.92031918,-0.079680823,48.37354649,TRUE
KR70035C,bracket,16,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_16,42,24,8,7.611114734,-0.388885266,48.37354649,TRUE
KR70035C,bracket,16,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_16,42,24,2.5,2.425471624,-0.074528376,48.37354649,TRUE
KR70035C,bracket,16,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_16,42,24,15,14.95676736,-0.04323264,48.37354649,TRUE
KR70035C,bracket,16,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_16,42,24,2,1.964212791,-0.035787209,48.37354649,TRUE
KR70035C,bracket,17,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_17,63,24,15,14.96629441,-0.033705593,67.41661516,TRUE
KR70035C,bracket,17,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_17,63,24,8,7.598823978,-0.401176022,67.41661516,TRUE
KR70035C,bracket,17,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_17,63,24,2.5,2.395258602,-0.104741398,67.41661516,TRUE
KR70035C,bracket,17,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_17,63,24,15,14.93318671,-0.066813295,67.41661516,TRUE
KR70035C,bracket,17,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_17,63,24,2,2.013404678,0.013404678,67.41661516,TRUE
KR70035C,bracket,18,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_18,84,24,15,14.92385152,-0.076148477,87.36131867,TRUE
KR70035C,bracket,18,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_18,84,24,8,7.654995918,-0.345004082,87.36131867,TRUE
KR70035C,bracket,18,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_18,84,24,2.5,2.421958485,-0.078041515,87.36131867,TRUE
KR70035C,bracket,18,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_18,84,24,15,14.92180702,-0.078192977,87.36131867,TRUE
KR70035C,bracket,18,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_18,84,24,2,2.053814161,0.053814161,87.36131867,TRUE
KR70035C,bracket,25,1,1,EPX,black,center,dist_length,bracket_dist_mm_c,center_dist_length,EPX_black,KR70035C_25,42,0,15,14.93692911,-0.063070893,42,TRUE
KR70035C,bracket,25,1,1,EPX,black,height,height,bracket_height_mm,height_height,EPX_black,KR70035C_25,42,0,8,7.619868644,-0.380131356,42,TRUE
KR70035C,bracket,25,1,1,EPX,black,inner,dia,bracket_inner_dia_mm_a,inner_dia,EPX_black,KR70035C_25,42,0,2.5,2.412121683,-0.087878317,42,TRUE
KR70035C,bracket,25,1,1,EPX,black,inner,length,bracket_inner_length_mm_b,inner_length,EPX_black,KR70035C_25,42,0,15,14.96713672,-0.032863278,42,TRUE
KR70035C,bracket,25,1,1,EPX,black,outer,thick,bracket_thick_mm_a,outer_thick,EPX_black,KR70035C_25,42,0,2,1.943131783,-0.056868217,42,TRUE
